Number,Country,GDP nominal,GDP abbrev,GDP growth,Population,GDP per capital,Share of world GDP
1,United States,"$25,462,700,000,000",$25.463 trillion,2.06%,"33,82,89,857","$75,269",25.32%
2,China,"$17,963,200,000,000",$17.963 trillion,2.99%,"1,42,58,87,337","$12,598",17.86%
3,Japan,"$4,231,140,000,000",$4.231 trillion,1.03%,"12,39,51,692","$34,135",4.21%
4,Germany,"$4,072,190,000,000",$4.072 trillion,1.79%,"8,33,69,843","$48,845",4.05%
5,India,"$3,385,090,000,000",$3.385 trillion,7.00%,"1,41,71,73,173","$2,389",3.37%
6,United Kingdom,"$3,070,670,000,000",$3.071 trillion,4.10%,"6,75,08,936","$45,485",3.05%
7,France,"$2,782,910,000,000",$2.783 trillion,2.56%,"6,46,26,628","$43,061",2.77%
8,Russia,"$2,240,420,000,000",$2.240 trillion,-2.07%,"14,47,13,314","$15,482",2.23%
9,Canada,"$2,139,840,000,000",$2.140 trillion,3.40%,"3,84,54,327","$55,646",2.13%
10,Italy,"$2,010,430,000,000",$2.010 trillion,3.67%,"5,90,37,474","$34,053",2.00%
11,Brazil,"$1,920,100,000,000",$1.920 trillion,2.90%,"21,53,13,498","$8,918",1.91%
12,Australia,"$1,675,420,000,000",$1.675 trillion,3.62%,"2,61,77,413","$64,003",1.67%
13,South Korea,"$1,665,250,000,000",$1.665 trillion,2.56%,"5,18,15,810","$32,138",1.66%
14,Mexico,"$1,414,190,000,000",$1.414 trillion,3.06%,"12,75,04,125","$11,091",1.41%
15,Spain,"$1,397,510,000,000",$1.398 trillion,5.45%,"4,75,58,630","$29,385",1.39%
16,Indonesia,"$1,319,100,000,000",$1.319 trillion,5.31%,"27,55,01,339","$4,788",1.31%
17,Saudi Arabia,"$1,108,150,000,000",$1.108 trillion,8.74%,"3,64,08,820","$30,436",1.10%
18,Netherlands,"$991,115,000,000",$991 billion,4.48%,"1,75,64,014","$56,429",0.99%
19,Turkey,"$905,988,000,000",$906 billion,5.57%,"8,53,41,241","$10,616",0.90%
20,Switzerland,"$807,706,000,000",$808 billion,2.06%,"87,40,472","$92,410",0.80%
21,Poland,"$688,177,000,000",$688 billion,4.87%,"3,98,57,145","$17,266",0.68%
22,Argentina,"$632,770,000,000",$633 billion,5.24%,"4,55,10,318","$13,904",0.63%
23,Sweden,"$585,939,000,000",$586 billion,2.64%,"1,05,49,347","$55,543",0.58%
24,Norway,"$579,267,000,000",$579 billion,3.28%,"54,34,319","$106,594",0.58%
25,Belgium,"$578,604,000,000",$579 billion,3.25%,"1,16,55,930","$49,640",0.58%
26,Ireland,"$529,245,000,000",$529 billion,11.97%,"50,23,109","$105,362",0.53%
27,Israel,"$522,033,000,000",$522 billion,6.46%,"90,38,309","$57,758",0.52%
28,United Arab Emirates,"$507,535,000,000",$508 billion,7.41%,"94,41,129","$53,758",0.50%
29,Thailand,"$495,341,000,000",$495 billion,2.59%,"7,16,97,030","$6,909",0.49%
30,Nigeria,"$477,386,000,000",$477 billion,3.25%,"21,85,41,212","$2,184",0.47%
31,Egypt,"$476,748,000,000",$477 billion,6.59%,"11,09,90,103","$4,295",0.47%
32,Austria,"$471,400,000,000",$471 billion,5.00%,"89,39,617","$52,732",0.47%
33,Singapore,"$466,789,000,000",$467 billion,3.65%,"59,75,689","$78,115",0.46%
34,Bangladesh,"$460,201,000,000",$460 billion,7.10%,"17,11,86,372","$2,688",0.46%
35,Vietnam,"$408,802,000,000",$409 billion,8.02%,"9,81,86,856","$4,164",0.41%
36,Malaysia,"$406,306,000,000",$406 billion,8.69%,"3,39,38,221","$11,972",0.40%
37,South Africa,"$405,870,000,000",$406 billion,2.04%,"5,98,93,885","$6,776",0.40%
38,Philippines,"$404,284,000,000",$404 billion,7.57%,"11,55,59,009","$3,499",0.40%
39,Denmark,"$395,404,000,000",$395 billion,3.82%,"58,82,261","$67,220",0.39%
40,Iran,"$388,544,000,000",$389 billion,2.75%,"8,85,50,570","$4,388",0.39%
41,Pakistan,"$376,533,000,000",$377 billion,6.19%,"23,58,24,862","$1,597",0.37%
42,Hong Kong,"$359,839,000,000",$360 billion,-3.48%,"74,88,865","$48,050",0.36%
43,Colombia,"$343,939,000,000",$344 billion,7.50%,"5,18,74,024","$6,630",0.34%
44,Romania,"$301,262,000,000",$301 billion,4.79%,"1,96,59,267","$15,324",0.30%
45,Chile,"$301,025,000,000",$301 billion,2.44%,"1,96,03,733","$15,355",0.30%
46,Czech Republic (Czechia),"$290,924,000,000",$291 billion,2.46%,"1,04,93,986","$27,723",0.29%
47,Finland,"$280,826,000,000",$281 billion,2.08%,"55,40,745","$50,684",0.28%
48,Iraq,"$264,182,000,000",$264 billion,7.01%,"4,44,96,122","$5,937",0.26%
49,Portugal,"$251,945,000,000",$252 billion,6.69%,"1,02,70,865","$24,530",0.25%
50,New Zealand,"$247,234,000,000",$247 billion,2.16%,"51,85,288","$47,680",0.25%
51,Peru,"$242,632,000,000",$243 billion,2.68%,"3,40,49,588","$7,126",0.24%
52,Qatar,"$237,296,000,000",$237 billion,4.83%,"26,95,122","$88,046",0.24%
53,Kazakhstan,"$220,623,000,000",$221 billion,3.20%,"1,93,97,998","$11,373",0.22%
54,Greece,"$219,066,000,000",$219 billion,5.91%,"1,03,84,971","$21,095",0.22%
55,Algeria,"$191,913,000,000",$192 billion,3.10%,"4,49,03,225","$4,274",0.19%
56,Kuwait,"$184,558,000,000",$185 billion,8.18%,"42,68,873","$43,233",0.18%
57,Hungary,"$178,789,000,000",$179 billion,4.58%,"99,67,308","$17,938",0.18%
58,Ukraine,"$160,503,000,000",$161 billion,-29.10%,"3,97,01,739","$4,043",0.16%
59,Morocco,"$134,182,000,000",$134 billion,1.08%,"3,74,57,971","$3,582",0.13%
60,Ethiopia,"$126,783,000,000",$127 billion,5.32%,"12,33,79,924","$1,028",0.13%
61,Slovakia,"$115,469,000,000",$115 billion,1.67%,"56,43,453","$20,461",0.11%
62,Ecuador,"$115,049,000,000",$115 billion,2.95%,"1,80,01,000","$6,391",0.11%
63,Oman,"$114,667,000,000",$115 billion,4.31%,"45,76,298","$25,057",0.11%
64,Dominican Republic,"$113,642,000,000",$114 billion,4.86%,"1,12,28,821","$10,121",0.11%
65,Kenya,"$113,420,000,000",$113 billion,4.85%,"5,40,27,487","$2,099",0.11%
66,Angola,"$106,714,000,000",$107 billion,3.05%,"3,55,88,987","$2,999",0.11%
67,Guatemala,"$95,003,333,381",$95.00 billion,4.12%,"1,78,43,908","$5,324",0.09%
68,Bulgaria,"$89,040,398,406",$89.04 billion,3.36%,"67,81,953","$13,129",0.09%
69,Luxembourg,"$82,274,812,251",$82.27 billion,1.55%,"6,47,599","$127,046",0.08%
70,Uzbekistan,"$80,391,853,885",$80.39 billion,5.67%,"3,46,27,652","$2,322",0.08%
71,Azerbaijan,"$78,721,058,824",$78.72 billion,4.62%,"1,03,58,074","$7,600",0.08%
72,Panama,"$76,522,511,781",$76.52 billion,10.81%,"44,08,581","$17,358",0.08%
